,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,Recall
y:label=0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9545
y:label=1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=5,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9545
y:label=6,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.95
y:label=7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=8,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9375
y:label=9,0,0,0,0,0,0,1,0,0,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.88
y:label=10,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.9166
y:label=11,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=12,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=13,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0.9565
y:label=14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1
y:label=15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0.9130
y:label=16,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,20,0,0,0,2,0,0,0,0,0.7407
y:label=17,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0.84
y:label=18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0.8260
y:label=19,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0.9130
y:label=20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0.9629
y:label=21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1
y:label=22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1
y:label=24,1,2,1,0,1,0,0,0,4,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,13,0.4482
Precision,0.8076,0.8857,0.84,0.9655,0.9166,0.9545,0.95,1,0.8571,0.9565,0.9166,0.9166,0.85,0.9166,0.9166,1,0.9090,0.9130,1,0.9130,0.9285,0.9545,1,0.9047,0.9285,
F-Measures,0.8749,0.9393,0.9130,0.9824,0.9564,0.9545,0.95,1,0.8954,0.9166,0.9166,0.9564,0.9189,0.9361,0.9564,0.9545,0.8162,0.8749,0.9047,0.9130,0.9453,0.9767,1,0.9499,0.6045,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.9208,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.9240,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.9277,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.9203,,,,,,,,,,,,,,,,,,,,,,,,,
